HstNummer;Name mit Ort;Name ohne Ort;Ort;GKZ;Globale ID;Tarifgebiete;MVTT X;MVTT Y;WGS84 X;WGS84 Y
9020;Thambach, Abzw.;Abzw.;Thambach;9183140;de:09183:9818;;4519502;821540;48,18383776;12,26081646
9021;Ramsau (MÜ);Ramsau;Ramsau (b Dorfen);9183140;;;;;;
9022;Furth (b. Haag);Furth;Furth (b.Haag);9183140;;;;;;
9023;Kirchdorf, Ortsmitte;Ortsmitte;Kirchdorf (b Haag);9183123;de:09183:80606;;4514841;822386;48,17635495;12,19810588
9024;Oberndorf, Abzw. B12;Oberndorf, Abzw. B12;Oberndorf/Neumarkt;9183129;de:09183:80909;;4510349;823407;48,16726136;12,13768132
9025;Straß (Maitenbeth);Straß;Straß (Maitenbeth);9183126;de:09183:80652;;4508579;824117;48,16090229;12,1138717
9026;Oberndorf, Abzw. Winden;Abzw. Winden;Oberndorf b Isen;9183119;de:09183:80607;;4510107;822778;48,17292201;12,13444279
9027;Schmiechen;Schmiechen;Schmiechen (Kr AIC);9771163;de:09771:1300;;;;;
9028;Egling (BRB);Egling (BRB);Egling a.d.Paar;9181116;de:09181:501;;4424032;820262;48,19108019;10,97677616
9029;Tollwood;Tollwood;München;9162000;de:09162:9029;2;4466575;823104;48,16918797;11,54917651
9029;Olympiaberg;Olympiaberg;München;9162000;de:09162:9029;2;4466575;823104;48,16918797;11,54917651
9030;Raisting;Raisting;Raisting (Obb);9190144;de:09190:45004;;;;;
9031;Kaufering, Bahnhof;Bahnhof;Kaufering;9181128;de:09181:503;;4414810;832354;48,08118406;10,85518253
9032;Klosterlechfeld, Bahnhof;Bahnhof;Klosterlechfeld;9772162;;;4413251;824103;48,1551629;10,8325841
9033;Landsberg, Schule;Schule;Landsberg a.Lech;9181130;;;4415840;835420;48,05375226;10,86960738
9034;Landsberg/Lech, Bahnhof;Bahnhof;Landsberg a.Lech;9181130;;;4415960;836088;48,04776159;10,87134797
9035;Bichl b. Kirchdorf;Bichl b. Kirchdorf;Kirchdorf (b Haag);9183123;;;;;;
9036;Niesberg;Niesberg;Niesberg (Kr MÜ);9183126;;;;;;
9037;Wasserburg, Rosenh./Gimplberg;Rosenheimer Str./Gimplberg;Wasserburg a.Inn;9187182;de:09187:42034;;4517272;835557;48,05784279;12,23026186
9038;Wasserburg, Innhöhe;Innhöhe;Wasserburg a.Inn;9187182;de:09187:42030;;4515972;835278;48,06038568;12,21283253
9039;Gabersee, Wohnheim ISK;Wohnheim ISK;Gabersee;9187182;de:09187:42050;;4514880;835127;48,06176997;12,19818767
9040;Wasserburg, Landschaftsweg;Landschaftsweg;Wasserburg a.Inn;9187182;de:09187:42040;;4515678;835154;48,06150812;12,2088928
9041;Staudham B 304;Staudham B 304;Staudham/Wasserburg;9187182;de:09187:42056;;4513063;835167;48,06144983;12,1738092
9043;Reitmehring, Firma Meggle;Firma Meggle;Reitmehring;9187182;de:09187:42053;;4514001;835802;48,0557192;12,18637284
9044;Reitmehring, Abzw. Ahornstraße;Abzw. Ahornstraße;Reitmehring;9187182;de:09187:42052;;4513893;836099;48,0530505;12,18491446
9046;Staudham, Gewerbegebiet;Gewerbegebiet;Staudham/Wasserburg;9187182;de:09187:42054;;4513067;835226;48,06091913;12,17386107
9047;Ramsau Felling;Ramsau Felling;Felling (Oberbayern);9187124;de:09187:41566;;4510398;833764;48,07411634;12,13808907
9048;Brandstätt, Abzw.;Brandstätt, Abzw.;Brandstätt (Edling);9187124;de:09187:41369;;4509712;833452;48,07693304;12,12889037
9049;Breitmoos;Breitmoos;Breitmoos;9187124;de:09187:43689;;4508880;833314;48,07818618;12,11772762
9053;Edling, Staudhamer Straße;Staudhamer Straße;Edling;9187124;de:09187:41429;;4512672;835543;48,05807614;12,16855241
9054;Edling, Römer-/Pfaffingerstr.;Römer-/Pfaffingerstraße;Edling;9187124;de:09187:41431;;4511959;835599;48,05758619;12,15898577
9055;Hochhaus (Edling);Hochhaus;Hochhaus (Edling);9187124;de:09187:41430;;4511830;834980;48,06315552;12,15727224
9058;Pfaffing, Abzw. Eichenweg;Abzw. Eichenweg;Pfaffing (Wasserburg;9187159;de:09187:41798;;4508348;836188;48,05234612;12,11053223
9059;Oed/Ried (Pfaffing);Oed/Ried (Pfaffing);Ried (Pfaffing);9187159;de:09187:41813;;4508322;834846;48,06441569;12,11020938
9060;Unterschleißheim, Campus;Campus;Unterschleißheim;9184149;;;4467303;811484;48,27372409;11,55806634
9061;Feldkirchen, Schule;Schule;Feldkirchen (Kr RO);9187130;de:09187:42135;;4488074;852390;47,90657353;11,83903227
9071;Bruckmühl, Gymnasium;Gymnasium;Bruckmühl (Mangfall);9187122;de:09187:41224;;4493719;854744;47,88548289;11,91457492
9072;Bruckmühl, Vagener/Sonnenstr.;Vagener Str./Sonnenstr.;Bruckmühl (Mangfall);9187122;de:09187:47071;;4493298;855573;47,87802278;11,90895884
9073;Unterreit, Abzw.;Abzw.;Unterreit/Kr Rosenhm;9187130;de:09187:41694;;4487117;851681;47,91293146;11,82621011
9074;Bruckmühl, Kirchdorferstraße;Kirchdorferstraße;Bruckmühl (Mangfall);9187122;;;;;;
9075;Högling, Ort;Ort;Högling (Oberbay);9187122;de:09187:79015;;4496405;854614;47,88667299;11,95048747
9076;Högling, Abzw.;Abzw.;Högling (Oberbay);9187122;de:09187:41264;;4496383;855021;47,8830124;11,95019677
9077;Heufeldmüle, Abzw.Noderwiechs;Abzw. Noderwiechs;Heufeldmühle;9187122;;;;;;
9078;Bruckmühl, Abzw. Sonnenwiechs;Abzw. Sonnenwiechs;Bruckmühl (Mangfall);9187122;de:09187:41228;;4494604;854972;47,88344045;11,92641085
9079;Bad Aibling, Sonnenstraße;Sonnenstraße;Bad Aibling;9187117;de:09187:47072;;4499692;857177;47,86363225;11,99444012
9081;Heufeldmühle, Fabriksiedlung;Fabriksiedlung;Heufeldmühle;9187122;de:09187:46996;;4495336;855732;47,87661099;11,93620611
9082;Heufeldmühle, Römervilla;Römervilla;Heufeldmühle;9187122;;;;;;
9083;Heufeldmühle, Fasanenstraße;Fasanenstraße;Heufeldmühle;9187122;de:09187:46998;;4496135;855989;47,87430497;11,9468898
9084;Heufeldmühle, Großer Stern;Großer Stern;Heufeldmühle;9187122;de:09187:47001;;4496409;856321;47,87132066;11,95055538
9085;Abzw. Noder- und Sonnenwiechs;Abzw. Noder- und Sonnenwiechs;Heufeldmühle;9187122;de:09187:41291;;4494671;854469;47,88796487;11,92730037
9086;Waldheim, J.-Völkl/Heimatweg;J.-Völkl/Heimatweg;Waldheim (Bruckmühl);9187122;;;;;;
9087;Unterheufeld, Marktfeld;Marktfeld;Unterheufeld;9187117;de:09187:47006;;4498608;856620;47,86864025;11,97995051
9088;Heufeld, Süd Chemie;Süd Chemie;Heufeld (Mangfall);9187122;de:09187:47007;;4497630;856336;47,87119153;11,96687662
9089;Esbaum bei Haag;Esbaum bei Haag;Esbaum (Kr MÜ);9183123;de:09183:80609;;4512157;823067;48,17028726;12,16199723
9094;Lengmoos;Lengmoos;Lengmoos (Obb);9183118;de:09183:7585;;4516462;826177;48,14222175;12,21975585
9095;Pennstätt;Pennstätt;Penstätt;9183118;de:09183:6293;;4516978;825959;48,14416879;12,22669807
9096;Aicha;Aicha;Aicha (Kr Mühldorf);9183119;de:09183:80611;;4514787;825717;48,14639962;12,19726454
9097;Haag, Wasserburger Hof;Wasserburger Hof;Haag (Obb.);9183119;de:09183:80617;;4513939;824188;48,16016941;12,18591875
9098;Haag, Realschule;Realschule;Haag (Obb.);9183119;de:09183:8591;;4513309;824304;48,15913962;12,17744677
9103;Waldheim, Gh. Waldschlößl;Gasthaus Waldschlößl;Waldheim (Bruckmühl);9187122;de:09187:46999;;4496984;856343;47,8711258;11,95824158
9108;Höhenried, LVA Buchheimmuseum;LVA Buchheimmuseum;Höhenried (Kr WM);9190115;;;;;;
9110;Bernried, Abzw. Bahnhof;Abzw. Bahnhof;Bernried(Starnb.See);9190115;;;;;;
9112;Bernried, Buchheimmuseum;Buchheimmuseum;Bernried(Starnb.See);9190115;;;;;;
9114;Bernried, Buchenstraße;Buchenstraße;Bernried(Starnb.See);9190115;;;;;;
9201;Feldkirchen, Rathaus;Rathaus;Feldkirchen (b Mchn);9184118;de:09184:9201;4,5;4480101;825576;48,14752506;11,73113705
9202;Schwabhausen, Tankstelle;Tankstelle;Schwabhausen (b DAH);9174143;;8,9;4452232;808079;48,30338541;11,35466049
9203;Stetten, Münchner Str.;Münchner Str.;Stetten (Schwabhsn.);9174143;;8;;;;
9211;Dachau, J.-F.-Kennedy-Platz;J.-F.-Kennedy-Platz;Dachau;9174115;de:09174:9211;7;;;;
9212;Dachau, J.-F.-Kennedy-Platz;J.-F.-Kennedy-Platz;Dachau;9174115;de:09174:9212;7;;;;
